WFST_ID,ra,dec,z,z_err,z_type,confidence,t0_mcmc,t0_err,tE_mcmc,tE_err,u0_mcmc,u0_err,A_max,g_s,g_base,r_s,r_base,i_s,i_base,chi2,dof,chi2/dof,source,type,external_match,logMBH_lamost,logMBH_method_lamost,logL_lamost,logL_wave_lamost,broad_fwhm_lamost,broad_ew_lamost,logMBH_SDSSDR16Q,logMBH_method_SDSSDR16Q,logL_SDSSDR16Q,logL_wave_SDSSDR16Q,broad_fwhm_SDSSDR16Q,broad_ew_SDSSDR16Q
WFST_312112785+38190140,312.1127855,38.1901402,0.105,,spec,med,58615.23,+2.53/-2.46,353.19,+28.91/-20.45,0.379,+0.030/-0.040,2.78,21.76,21.63,20.81,20.46,,,1108.6,956,1.16,"MILLIQUAS,QZO",QX,H,,,,,,,,,,,,
WFST_313587263-11857178,313.5872629,-11.8571779,,,unknown,med,59813.59,+1.25/-1.22,161.18,+16.32/-10.90,0.239,+0.017/-0.026,4.27,21.13,21.04,21.08,20.48,,,583.9,309,1.89,WISE_R90,unknown,-,,,,,,,,,,,,
WFST_321560083-13854895,321.5600825627225,-13.85489508582486,0.4303860366344452,0.064267560133934,phot,med,59828.66,+2.70/-2.48,840.57,+109.24/-145.98,0.092,+0.023/-0.013,10.94,22.35,20.31,22.30,19.91,22.57,19.56,586.6,392,1.50,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,H,,,,,,,,,,,,
WFST_323234493+22519945,323.23449273987814,22.51994473102571,3.018183708190918,0.0838799999999999,phot,med,59410.58,+3.41/-3.41,357.71,+31.77/-16.66,0.800,+0.055/-0.093,1.53,20.00,19.81,19.87,19.59,20.03,19.51,3922.3,2966,1.32,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",unknown,-,,,,,,,,,,,,
WFST_329797184+12497373,329.7971843,12.4973733,1.556,,spec,med,59542.96,+2.22/-2.27,354.59,+6.37/-6.11,0.765,+0.009/-0.013,1.58,19.15,19.14,19.18,18.89,18.94,18.75,2522.0,1421,1.77,"MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,9.173180,MgII,45.974959,3000,4021.169601,25.578785
WFST_331948143+30905394,331.9481433176594,30.905393666195607,2.138000011444092,,spec,med,59224.83,+2.80/-2.75,391.00,+9.01/-8.51,0.648,+0.009/-0.011,1.78,19.84,19.82,20.02,19.63,20.22,19.42,2200.9,1458,1.51,"JPLUSDR3,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,9.328313,CIV,46.144725,1350,5831.821645,28.521466
WFST_335826798+29226750,335.8267980470019,29.22674984697964,1.8698822170881504,0.0002550926172099,spec,med,58807.84,+2.23/-2.15,340.52,+6.30/-6.21,0.593,+0.008/-0.011,1.90,19.82,19.80,20.00,19.79,19.94,19.54,2463.2,1878,1.31,"DESI_DR1,JPLUSDR3,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,9.125845,MgII,45.770118,3000,4407.434783,32.367275
WFST_337424684+32211215,337.42468389291673,32.21121546759853,1.6488019227981567,0.0686758756637573,phot,med,58913.83,+1.80/-1.85,278.38,+16.79/-10.63,0.592,+0.030/-0.049,1.90,20.27,20.16,20.46,20.13,20.55,19.86,2417.6,1759,1.37,"QUAIA_G20_5,JPLUSDR3,QZO,GAIA,CATWISE,PS1",unknown,-,,,,,,,,,,,,
WFST_340519309+14658099,340.51930880978927,14.658099233968583,0.5900622757602402,8.925019425935261e-05,spec,med,58788.38,+3.40/-3.52,647.91,+33.36/-27.34,0.336,+0.015/-0.018,3.10,20.61,20.56,20.74,20.57,,,660.7,410,1.61,"DESI_DR1,LAMOST_DR1_5,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,8.603823,MgII,44.541372,3000,6262.957,59.929,,,,,,
WFST_344855300+14733673,344.8553,14.733673,1.4947872,,spec,med,59122.73,+3.48/-3.45,415.57,+16.13/-13.35,0.540,+0.015/-0.024,2.05,20.17,20.12,20.23,19.65,20.09,19.57,1486.5,940,1.58,"LAMOST_DR6_9,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",Q,-,9.145034,MgII,45.618741,3000,6287.132,47.555,9.079589,MgII,45.693455,3000,4413.911675,34.330928
